generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.1319346060339795,0.14320571400868895,0.16138048750566208,0.005690254493006955,37,113,54.34981083869934,0.008483171463012695,100,False
1,0.12739930149684323,0.13713800286855893,0.15403930472168034,0.0046094849875642965,32,114,53.24713587760925,0.010335445404052734,100,False
2,0.12412195015112357,0.13446440227184087,0.17430625907690128,0.007045735365975638,30,108,50.730265617370605,0.012490510940551758,100,False
3,0.12412195015112357,0.13000727376022944,0.1705250482435564,0.006840216468861916,30,108,49.180882930755615,0.013330936431884766,100,False
4,0.12156442469722933,0.1280974947040888,0.16407085530760443,0.006317227164123158,32,117,49.95290732383728,0.01219630241394043,100,False
5,0.12034249369463965,0.1272220699160534,0.18588489802991975,0.009302953921895181,29,113,49.9875283241272,0.013156414031982422,100,False
6,0.11969430716374321,0.12449722432308181,0.14757979304021307,0.004940890536603928,32,114,48.57149052619934,0.012331724166870117,100,False
7,0.11863343166151735,0.12350150410352619,0.16938445741653313,0.008280359031740105,30,115,51.513530254364014,0.012161493301391602,100,False
8,0.11727079254882594,0.12171086177165198,0.13259160346116866,0.003413839073630963,30,114,51.56477952003479,0.012999773025512695,100,False
9,0.11694260975843729,0.12068544024697314,0.13169117385689066,0.0035075407013808583,31,119,51.89252424240112,0.012286186218261719,100,False
10,0.11648360862505729,0.11819586495693611,0.12583470536341892,0.0013306786602311842,30,116,51.88259220123291,0.012730121612548828,100,False
11,0.1155486944812566,0.11785208394240017,0.12982385281924452,0.001983094372992703,30,117,49.50871658325195,0.012876272201538086,100,False
12,0.11546981976060457,0.117244841009581,0.1255302090360565,0.0014224514134211093,30,117,47.75982332229614,0.012149810791015625,100,False
13,0.11524477810267214,0.11675551950903466,0.12242445584931702,0.0012517427441976032,30,117,50.770447731018066,0.012097597122192383,100,False
14,0.11516590338202011,0.1159522796431502,0.117843415914929,0.0005150238746890713,30,117,49.351845264434814,0.01302957534790039,100,False
15,0.11508702866136808,0.11580494328462443,0.11781372999930242,0.0005446106281167422,30,117,50.10008764266968,0.012015581130981445,100,False
16,0.1149408617240877,0.11569778647731509,0.1180522104964606,0.0005805309730612557,30,117,49.62864327430725,0.013207435607910156,100,False
17,0.1149408617240877,0.1410495185162142,0.16339642943100252,0.010075697412462826,30,117,49.242486000061035,0.007223606109619141,100,True
18,0.11474367492245763,0.11549589449394762,0.11736310007342951,0.0004917704650831803,30,117,48.817596435546875,0.012649774551391602,100,False
19,0.1144791959041992,0.11535975777312121,0.11765952969023968,0.0005732041781501518,30,117,47.628782987594604,0.011532306671142578,100,False
20,0.11436088382322115,0.11518400202027078,0.11709765980162759,0.000520582437760225,30,117,48.61352229118347,0.013664722442626953,100,False
21,0.11396182037170599,0.11493183181113441,0.11706895267462221,0.0005654752912402879,30,117,49.89094877243042,0.013012170791625977,100,False
22,0.11371361370572623,0.11455847335479277,0.11647591639936013,0.0006095849439665227,30,117,48.506844997406006,0.01393270492553711,100,False
23,0.11351173705584117,0.11436716318286559,0.11618531906364955,0.0005398849949667256,30,116,51.38141417503357,0.013083219528198242,100,False
24,0.11327511289388509,0.11404575463155248,0.1157808536979032,0.00045272032854904213,30,117,47.58612012863159,0.011475563049316406,100,False
25,0.1132125105255117,0.11384835169656263,0.11609286306298425,0.0005633383999176405,30,118,46.695228815078735,0.012085914611816406,100,False
26,0.1129874688675793,0.11376548412309596,0.11584254208817757,0.00051148523811301,30,118,50.653733253479004,0.012834548950195312,100,False
27,0.11288073929062492,0.11358339167331652,0.11530848187480237,0.0004433088572764889,30,118,49.016910552978516,0.012978792190551758,100,False
28,0.11282971942627523,0.11346948074746244,0.1153292156498771,0.0005047929311600411,30,119,48.022812366485596,0.01346898078918457,100,False
29,0.11282971942627523,0.14023213059381842,0.15724382592135977,0.01056404449222052,30,119,48.898372650146484,0.007311582565307617,100,True
30,0.11267196998497117,0.11344849289020285,0.11538886065777187,0.0005271413208665182,30,119,47.645416021347046,0.010462522506713867,100,False
31,0.11267196998497117,0.11335008709159221,0.1148746709112162,0.0004637326559956419,30,119,49.20174551010132,0.012685060501098633,100,False
32,0.11252580304769078,0.11323913432258793,0.11484937625844927,0.0004267503156420322,30,119,50.80311679840088,0.013894081115722656,100,False
33,0.11227759638171102,0.11316628345674935,0.11454248860476993,0.00046574774615787976,30,120,48.45776677131653,0.012749195098876953,100,False
34,0.11227759638171102,0.11306508741244531,0.11475996798233115,0.00050412556934128,30,120,47.674888372421265,0.012515068054199219,100,False
35,0.11227759638171102,0.13991972314061724,0.1543754246565001,0.010256382754822517,30,120,49.02710175514221,0.006692409515380859,100,True
36,0.11227759638171102,0.11307655790825931,0.11545912445266496,0.0005866183403009801,30,120,49.00983500480652,0.011227130889892578,100,False
