generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.4165492414153701,0.47097268550438365,0.5861084325754865,0.04146639212985357,65,37,27.503785133361816,0.0027599334716796875,100,False
1,0.3903674340363393,0.456056201882816,0.5926363419533818,0.03211099272784013,56,36,28.433401823043823,0.004425048828125,100,False
2,0.3967265655224464,0.4466111743252192,0.5528195419513462,0.02831564749377014,58,36,26.553438901901245,0.0034749507904052734,100,False
3,0.3850003608283268,0.44602838845324266,0.5040079489442287,0.028234773420179566,57,31,27.335577964782715,0.0035479068756103516,100,False
4,0.38593237590125246,0.44573441755608273,0.5308156355741299,0.029043259313471,54,33,27.22832489013672,0.003499269485473633,100,False
5,0.3912683608877143,0.4371062103658058,0.5272676955722131,0.023130732802454583,52,43,29.252590894699097,0.0034668445587158203,100,False
6,0.3946691228827177,0.4334088850176212,0.4961575827776059,0.020473431022917765,48,44,27.026686191558838,0.003433704376220703,100,False
7,0.38962320682462653,0.42755645701510436,0.5113736453466969,0.021585208989062698,48,38,27.352445125579834,0.0033388137817382812,100,False
8,0.3903911451755867,0.43169375723719966,0.5109794466178603,0.020890747991727368,49,42,29.99444890022278,0.00351715087890625,100,False
9,0.38734189580769773,0.42641679919568376,0.5083642936068067,0.018516728693583576,50,34,29.5748131275177,0.0034635066986083984,100,False
10,0.3880655846362187,0.4216671013016306,0.4839872257058966,0.01836377672326601,51,42,27.479634046554565,0.0033888816833496094,100,False
11,0.38758386091348374,0.4219861317877487,0.4679917776059695,0.017395271244896735,49,37,29.508091926574707,0.0034072399139404297,100,False
12,0.38563042540028825,0.42204841576587115,0.49363671362183936,0.020983896216635205,50,40,28.52636981010437,0.0035011768341064453,100,False
13,0.38522705649486966,0.4250249563157765,0.49716443842760505,0.020372577358220883,58,30,28.29878807067871,0.0034139156341552734,100,False
14,0.3934119197166172,0.42271854076330156,0.453396016385031,0.012990679620184672,50,41,27.89593482017517,0.0034232139587402344,100,False
15,0.3841805904679199,0.4192900161193862,0.4630017126842666,0.015068826084972405,54,37,28.25001811981201,0.0034711360931396484,100,False
16,0.3824714901514382,0.4157748115225073,0.45441326714943864,0.014350859265573857,50,35,27.897515773773193,0.0033440589904785156,100,False
17,0.38402047420240826,0.41652975975961354,0.4455607529017759,0.011282641758276054,55,34,27.798904180526733,0.0033097267150878906,100,False
18,0.3793396725593517,0.4152449886139455,0.45820949448648385,0.013142281580993934,52,32,28.668015003204346,0.003359079360961914,100,False
19,0.381732120874826,0.411810640740241,0.45209429999570927,0.014391484677802472,49,36,30.213737964630127,0.003468036651611328,100,False
20,0.3784792098891147,0.40870099921177605,0.44979375243719466,0.013757518301134797,51,40,28.01428508758545,0.003328561782836914,100,False
21,0.38198001619964894,0.4090677918510648,0.44208088838490056,0.013847043290726382,56,34,28.00467824935913,0.003286123275756836,100,False
22,0.38071447669286207,0.4064112845190709,0.44329843952660275,0.011406361472761917,49,40,27.643614053726196,0.003313779830932617,100,False
23,0.3787783238517047,0.40383131320842175,0.43829402889253377,0.010908731916717502,47,35,28.705748319625854,0.0031447410583496094,100,False
24,0.3828195687143664,0.40325428710409783,0.4293312478133346,0.011125506531454417,48,39,28.67777991294861,0.003183126449584961,100,False
25,0.37883988535539515,0.3987496091535176,0.44822980796573514,0.011042138369698059,46,41,28.533103942871094,0.0031740665435791016,100,False
26,0.367622038333307,0.39519312780113436,0.42319827394888987,0.010084156442867713,47,35,30.725116729736328,0.0031592845916748047,100,False
27,0.37067772997386805,0.3963707948952011,0.4222036207235851,0.009925588134353833,51,34,28.531195878982544,0.003088235855102539,100,False
28,0.37067772997386805,0.3914432391213086,0.4137512340756277,0.009052013723100927,51,34,27.886521100997925,0.0030295848846435547,100,False
29,0.36987165498275504,0.38920320337159764,0.41149025002596074,0.008177272334630668,48,37,28.763720989227295,0.0031280517578125,100,False
30,0.36987165498275504,0.38719681654379284,0.4114792964560271,0.008304921597351677,48,37,28.244960069656372,0.0031080245971679688,100,False
31,0.3685533790634878,0.3876466665362279,0.42881555983832764,0.009766703181577647,47,39,28.674995183944702,0.003145933151245117,100,False
32,0.36394294859010623,0.3868319442563333,0.4267553942888228,0.008801104383815168,49,37,30.52338480949402,0.003280162811279297,100,False
33,0.3683341551444893,0.385637262708263,0.415730789435243,0.009563388509990568,49,38,27.39801597595215,0.0030891895294189453,100,False
