generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small
0,1.1895997762376638,1.2310182097079374,1.278914175913427,0.033350544892422083,30,50
1,1.004968058280273,1.1539539949501418,1.3058891705168114,0.09725894962931167,8,23
2,0.897920054384388,1.065806461986527,1.146371034899172,0.09943604178805004,4,13
3,0.897920054384388,1.113953581259305,1.2222079171013207,0.1368572894532604,4,13
4,0.897920054384388,1.0827621549251345,1.1289726800603213,0.09242105027037328,4,13
5,0.897920054384388,0.9748837092799656,0.99412462300386,0.03848182744778877,4,13
6,0.897920054384388,1.0827621549251345,1.1289726800603213,0.09242105027037328,4,13
7,0.897920054384388,1.148590778595,1.211258459647653,0.125335362105306,4,13
8,0.897920054384388,0.9748837092799656,0.99412462300386,0.03848182744778877,4,13
9,0.8496497873548768,0.8593038407607791,0.897920054384388,0.019308106811804483,8,24
10,0.8496497873548768,0.9511172869745469,1.1749826495387914,0.11910167720784823,8,24
11,0.5935775476023705,0.8591758900891031,1.0,0.14855210914991276,0,12
12,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
13,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
14,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
15,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
16,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
17,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
18,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
19,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
20,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
21,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
22,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
23,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
24,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
25,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
26,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
27,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
28,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
29,0.5935775476023705,0.6000827854330438,0.6017090948907122,0.0032526189153367024,0,12
30,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
31,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
