generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small
0,0.24378158355795915,0.2547240755498731,0.26498184895553734,0.004681668343870148,30,50
1,0.18800046934960124,0.2517992433078144,0.32625556230462316,0.020554957221811814,38,48
2,0.20175222501793172,0.2527087957813566,0.3127529300014685,0.024359414494184748,36,58
3,0.163324021475004,0.2389385409950495,0.2876820796876299,0.027748806128697092,40,54
4,0.14769853940516747,0.22914282888049686,0.32780436892297643,0.0323409348368545,43,62
5,0.15871336008417758,0.2211779061381294,0.29426657848300375,0.030048126074382297,42,43
6,0.15728348187424032,0.21500849422958926,0.30344314493998675,0.031237698017394382,42,40
7,0.13123259816542812,0.20903762787755428,0.3069610440961415,0.03021350067553706,45,47
8,0.13123259816542812,0.20302228979814987,0.2647919681227425,0.02952627538526549,45,47
9,0.11197422526693313,0.19136540527806076,0.2537249928853202,0.026843342074285244,49,39
10,0.09426947403641889,0.17121660294444457,0.22356689116095746,0.029544242237999344,52,43
11,0.09426947403641889,0.15974331073574388,0.22389549954610735,0.026475427347610925,52,43
12,0.08777157840358303,0.14589744145856975,0.20012950148056768,0.03098015157671468,50,41
13,0.07292904301936834,0.11983787903927871,0.17390968131467546,0.025313340020783375,55,49
14,0.08367704286394217,0.10846083465903171,0.18219068468162009,0.015348054665954918,53,48
15,0.07528666636417623,0.10521886903059802,0.14649924884158877,0.01254759854661283,56,41
16,0.07497583712748865,0.1020862911584709,0.16948062612926035,0.01366652796330791,56,47
17,0.07497583712748865,0.0945507286997965,0.15015166942917135,0.012422377876015658,56,47
18,0.07497583712748865,0.09483135513301187,0.133341319081155,0.015077244302230319,56,47
19,0.07497583712748865,0.09109020066493785,0.1165571292920993,0.009966565845636538,56,47
20,0.07198404927539143,0.08680729142302347,0.11102486276631825,0.008952190004928497,53,48
21,0.06826308402040784,0.08322367331584397,0.09967747546876077,0.0064650139943966895,59,47
22,0.06764980971806839,0.0814773264976882,0.11540035190990391,0.007622258844642535,59,47
23,0.0692816772470094,0.08200789942344798,0.10907893371139094,0.007377210702820262,59,42
24,0.07089262956100602,0.08161004767257955,0.10853054236355011,0.007448726749837685,58,43
25,0.07187019065340328,0.08114040596665544,0.09396101124001685,0.005844094860957829,57,41
26,0.0674103602767966,0.07920801670457034,0.09460181355452474,0.00590879527683195,61,45
27,0.06757205876933262,0.075455393611024,0.08739977022132317,0.00521680479552084,60,44
28,0.06783322179954243,0.07457961412027422,0.08929771299826517,0.00448958940256669,59,46
29,0.06612425390816849,0.0729333852999547,0.09742710233674054,0.00471696014574674,59,47
30,0.06714996067745001,0.0730880098191507,0.08236148088036958,0.004042668444888739,57,47
