generation,best_fitness,mean_fitness,worst_fitness,std_fitness
0,0.24977848786828424,0.24977848786828422,0.24977848786828424,2.7755575615628914e-17
0,0.2601118212016176,0.24977848786828422,0.2414451545349509,0.006003702561290361
1,0.24911182120161757,0.2459118212016176,0.2414451545349509,0.003059411708155665
2,0.24444515453495091,0.24324515453495094,0.2414451545349509,0.000979795897113272
3,0.24377848786828424,0.24171182120161755,0.24111182120161756,0.0010413666234542242
4,0.2424451545349509,0.2414451545349509,0.23977848786828423,0.0009888264649460937
5,0.24111182120161756,0.24051182120161757,0.23977848786828423,0.00044221663871405067
6,0.24077848786828424,0.23997848786828424,0.23977848786828423,0.00040000000000000034
7,0.23977848786828423,0.22777848786828425,0.20977848786828424,0.014696938456699067
8,0.20977848786828424,0.20977848786828424,0.20977848786828424,0.0
9,0.20977848786828424,0.20977848786828424,0.20977848786828424,0.0
