generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.1316150045192891,0.1433148410345907,0.1579611413063023,0.005902449610326013,35,110,44.820476055145264,0.006093263626098633,100,False
1,0.1302577792908672,0.13473845057267217,0.14414020981744324,0.0020441542080931402,35,110,41.0541090965271,0.003221273422241211,100,False
2,0.12989851378922612,0.13160475879942748,0.1345955775699411,0.0008494707707523934,35,110,42.88939094543457,0.0037152767181396484,100,False
3,0.12908683987811106,0.13071896974593683,0.13355769945408907,0.0006436707897116878,35,110,42.01975202560425,0.004576921463012695,100,False
4,0.12884732954368366,0.13022677600868857,0.132000882280311,0.000627809807668753,35,110,40.9760844707489,0.0032045841217041016,100,False
5,0.1278892882059741,0.12962746792743243,0.13137549418486172,0.0006694627252027902,35,110,41.8040714263916,0.0033893585205078125,100,False
6,0.12772961464968918,0.12899369697027818,0.13071018770034115,0.0006093277641367127,35,110,42.930495738983154,0.004465579986572266,100,False
7,0.12749010431526178,0.12832697462034784,0.12997835056736856,0.0005365288425606923,35,110,41.930914878845215,0.004878520965576172,100,False
8,0.12705100203547823,0.128154849889339,0.13032430993931926,0.0006050521263934308,35,110,42.96229338645935,0.004241466522216797,100,False
9,0.1269312468682645,0.12776229294676333,0.12916667665625353,0.0005338161211464789,35,110,43.437660932540894,0.0031228065490722656,100,False
10,0.12637238942126727,0.12747105101713802,0.12912675826718228,0.0005171408003472425,35,110,43.56913733482361,0.0034029483795166016,100,False
11,0.12545426647262894,0.1272277074377669,0.12910014600780145,0.0006586119677608901,35,110,41.37011241912842,0.0042192935943603516,100,False
12,0.12510830710067827,0.12660801512684955,0.1285279824311138,0.0006343720277580472,35,110,41.99296545982361,0.004027605056762695,100,False
13,0.12450953126460977,0.12601019657109427,0.12755663496371383,0.0005201882623207399,35,110,41.11446475982666,0.004746675491333008,100,False
14,0.12442969448646732,0.12541818817772177,0.12667843040414672,0.00046441904646169255,35,110,38.31308698654175,0.0027925968170166016,100,False
15,0.12427002093018238,0.12500157883206187,0.12630585877281522,0.0004709468538285499,35,110,41.12370181083679,0.0036389827728271484,100,False
16,0.12383091865039883,0.12476483752947548,0.12610626682745907,0.0005021649238945143,35,110,39.88732624053955,0.0031664371490478516,100,False
17,0.1237910002613276,0.12451804718761164,0.12570708293674673,0.00042510749997652094,35,110,42.3348503112793,0.0037899017333984375,100,False
18,0.12337851024092486,0.12429873000670512,0.12534615085047363,0.00047099654268886905,35,110,39.5983190536499,0.003442049026489258,100,False
19,0.12337851024092486,0.12402984528927048,0.12537442969448648,0.0004026874327161986,35,110,41.437312602996826,0.004800081253051758,100,False
20,0.12327206120340159,0.12390782808000944,0.12522806226789196,0.00048273046742969066,35,110,39.297391176223755,0.003551483154296875,100,False
21,0.12327206120340159,0.14221210469777051,0.16140467445942952,0.008348685804465683,35,110,38.9049654006958,0.006337642669677734,100,True
22,0.12291279570176049,0.12376677429746502,0.12532120517572481,0.0004609697865798479,35,110,41.158846616744995,0.002911090850830078,100,False
23,0.12291279570176049,0.1415644284522664,0.16171346987899815,0.008526114515111082,35,110,38.97300338745117,0.006734371185302734,100,True
24,0.12287287731268925,0.12359073282119787,0.12488210289594127,0.0004492414567677049,35,110,40.466455698013306,0.0031425952911376953,100,False
25,0.12287287731268925,0.14203866582264715,0.15684249312491388,0.007922605753040879,35,110,38.49786400794983,0.006266117095947266,100,True
26,0.12247369342197693,0.12336652522614595,0.12464259256151389,0.00041028867935991487,35,110,39.689927101135254,0.0032079219818115234,100,False
27,0.12247369342197693,0.14149332219423227,0.15716277352487767,0.008174940250713579,35,110,38.221986055374146,0.05043625831604004,100,True
28,0.12224748921723995,0.12325619995464454,0.12522806226789196,0.0005134717520988774,35,110,41.64591073989868,0.0032351016998291016,100,False
29,0.12215434630940708,0.12287419890545333,0.12470912320996594,0.0004704489812857622,35,110,41.77816343307495,0.0037567615509033203,100,False
30,0.1218083869374564,0.12264614086276467,0.12396397994730293,0.00042647306036128977,35,110,40.56617283821106,0.0046198368072509766,100,False
31,0.12152895821395777,0.12253342388598182,0.12388414316916047,0.000472357514725267,35,110,41.15995192527771,0.004091501235961914,100,False
32,0.12124952949045914,0.12225533500803612,0.12389744929885088,0.00045991017771074223,35,110,39.32634377479553,0.004218339920043945,100,False
33,0.12123622336076874,0.12202500600928458,0.12476234772872757,0.0005395769431146477,35,110,39.91260075569153,0.003709077835083008,100,False
34,0.12107654980448382,0.12184737389744933,0.12411034737389745,0.0004613918649721717,35,110,40.33310914039612,0.0038254261016845703,100,False
35,0.12103663141541257,0.12169315585433745,0.1225668363298098,0.0004008358437931318,35,110,39.81222319602966,0.005125761032104492,100,False
