generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.13174733314027184,0.14524213321197377,0.16055464035966407,0.006545476836372568,29,98,14.415863037109375,0.018190860748291016,100,False
1,0.12771544614910232,0.14474210171741114,0.2237629510128188,0.01855308251449629,30,102,12.877917051315308,0.003925800323486328,100,False
2,0.1251332334973496,0.13822842620422107,0.25033458655505897,0.016159893062303737,29,107,12.865612030029297,0.004166841506958008,100,False
3,0.12494138830016693,0.13604243259865886,0.2083708261701541,0.014507990234693088,29,104,13.516993999481201,0.004224061965942383,100,False
4,0.12276279074159469,0.13191727903196357,0.19975775473569246,0.012903429853364363,32,102,13.584580183029175,0.004374980926513672,100,False
5,0.12136555033294164,0.12913083407588632,0.20444013610571454,0.010622583382044184,29,96,13.433587312698364,0.004422664642333984,100,False
6,0.12136555033294164,0.13004697375522395,0.1709696196019777,0.0073080015123122895,29,96,13.277400970458984,0.0039141178131103516,100,False
7,0.12010311791482575,0.12802608598560855,0.16168233935100768,0.007266562029381498,30,104,13.745118856430054,0.004300117492675781,100,False
8,0.11895328965651622,0.12626266772812417,0.16210829056094644,0.0061031695204029285,29,107,13.468488931655884,0.004363059997558594,100,False
9,0.11742542577969936,0.12278644942204352,0.1464588434138405,0.0052723120799901945,29,108,13.75857424736023,0.004396915435791016,100,False
10,0.11742542577969936,0.12166778599207373,0.14164855009108626,0.0034311976450315685,29,108,13.870828866958618,0.004407167434692383,100,False
11,0.11742542577969936,0.12214791925216212,0.1370368687119235,0.0031844575128546137,29,108,13.697651147842407,0.004763603210449219,100,False
12,0.11713714479230097,0.12242284607431148,0.15204079497410483,0.005144569855251598,29,105,13.494634866714478,0.004404306411743164,100,False
13,0.11713714479230097,0.12211876507002695,0.15051886521013563,0.005819379932331984,29,105,13.594428300857544,0.004329681396484375,100,False
14,0.11587344699835002,0.11958881548107625,0.13849040071249147,0.0030259434670453157,30,107,13.753969192504883,0.004499673843383789,100,False
15,0.11587344699835002,0.12085257629569213,0.12759666720466106,0.0016033258098090096,30,107,13.551365852355957,0.004419088363647461,100,False
16,0.11587344699835002,0.1181941694361673,0.12790542519093032,0.0013665257299392264,30,107,14.894620895385742,0.004227161407470703,100,False
17,0.11373511962464616,0.11582196579408736,0.12807760907925303,0.001688994903102251,29,105,14.926979064941406,0.005216121673583984,100,False
18,0.11373511962464616,0.11939947530656976,0.1327631205136461,0.0025852005401398315,29,105,13.166905164718628,0.004187822341918945,100,False
19,0.11373511962464616,0.11904844249700117,0.12206627849714666,0.0015366920765174843,29,105,13.763530969619751,0.004395008087158203,100,False
20,0.11373511962464616,0.11731449375629971,0.1363236073260724,0.0035844496522921257,29,105,13.297621965408325,0.004221200942993164,100,False
21,0.11373511962464616,0.1186628223261364,0.12697760922594944,0.0019379462962848734,29,105,13.580872058868408,0.004575252532958984,100,False
22,0.11373511962464616,0.1379799375874452,0.15929740660782116,0.009822548999630271,29,105,13.063034057617188,0.01783585548400879,100,True
