generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.19286124766970206,0.30042465765203463,0.7522077043831855,0.11744530560508949,21,250,60.803738594055176,0.007250785827636719,100,False
1,0.12709738806073492,0.2719913553635415,0.5658902247296697,0.08239942175095746,26,244,55.018394947052,0.024535417556762695,100,False
2,0.060139925768612844,0.28381219032266103,0.5675042513599348,0.08736215468295895,33,249,55.013266801834106,0.014369487762451172,100,False
3,0.07933388287876443,0.24106551424638564,0.5106898751524009,0.08105089809108788,29,267,56.81322932243347,0.01623392105102539,100,False
4,0.060276213798435854,0.2355848262955902,0.6266391824426788,0.09543319106019972,33,245,59.845372438430786,0.015210390090942383,100,False
5,0.07418318057280279,0.2196362452033157,0.421825448005206,0.08410142657760264,33,257,59.452940940856934,0.01722550392150879,100,False
6,0.06521581339996857,0.21256741119100453,0.36389394574372164,0.06715374120248518,30,245,54.35227179527283,0.018955469131469727,100,False
7,0.06643176991138716,0.1947046921704376,0.41201656581880275,0.07010670485261354,29,252,62.392500162124634,0.015568017959594727,100,False
8,0.06875013161787875,0.17748669057800143,0.3345981312939431,0.0625841098154424,30,243,61.11958312988281,0.016349315643310547,100,False
9,0.06629056697566504,0.15299141312456654,0.2987911701988206,0.062241427169455125,31,259,56.14780592918396,0.0199429988861084,100,False
10,0.06563498615500625,0.13888993230699742,0.3159406504770648,0.047414351429634766,29,263,59.12864875793457,0.01634955406188965,100,False
11,0.06349465227225713,0.13420751447856014,0.23979102876517733,0.042067189822401416,30,274,58.35054802894592,0.01638507843017578,100,False
12,0.06411294369928433,0.12297987747001794,0.24601389298352253,0.04174964644057899,30,243,59.524505615234375,0.019014358520507812,100,False
13,0.06328267023372518,0.10567038829947316,0.22579795783748066,0.03822076088891541,33,265,63.34303092956543,0.016140222549438477,100,False
14,0.0615248727633676,0.09839413318325409,0.25027471654044764,0.033885354276572056,31,272,66.6466817855835,0.01822066307067871,100,False
15,0.06473798133110678,0.09000831267334611,0.1830549165446545,0.024167605311688687,32,268,65.60819387435913,0.020247220993041992,100,False
16,0.05613438576331731,0.08347881387435485,0.1673964481839619,0.020580353003655093,30,260,63.30100417137146,0.017398595809936523,100,False
17,0.06231913049764377,0.07827704486457994,0.12645881372491719,0.011610077747363239,34,254,66.52403044700623,0.01665329933166504,100,False
18,0.06066043252618715,0.07761257250693872,0.12107079310184951,0.010390139962929736,33,270,67.04042148590088,0.017009258270263672,100,False
19,0.06315152014471241,0.07422530110136635,0.09322730696824476,0.0058479938718838135,38,269,64.10624527931213,0.016119003295898438,100,False
20,0.06428519896880597,0.0734273092067008,0.10310987875623717,0.005971108874290871,30,258,69.091139793396,0.02053236961364746,100,False
21,0.05946379982800111,0.07478601997697008,0.16371880455229154,0.014526277708633423,30,259,69.09485840797424,0.01680731773376465,100,False
22,0.06025910551152346,0.07369339933768615,0.08607642903583618,0.005336519505849352,35,252,64.59497165679932,0.0156402587890625,100,False
23,0.0641866014111302,0.07153915289567456,0.08269920315283535,0.0036563392576903285,32,264,68.02373743057251,0.017245769500732422,100,False
24,0.06571057605524172,0.0703416871547698,0.0789710818166383,0.0025668847665205035,33,263,63.91818618774414,0.01629805564880371,100,False
25,0.06561423876431446,0.07111316668928215,0.08609745407091468,0.0035293045169612403,35,267,64.55063009262085,0.015933752059936523,100,False
26,0.06556065053948096,0.07178463321904383,0.08952250446301141,0.004626139212884126,32,270,69.00984740257263,0.019155025482177734,100,False
27,0.064847187562205,0.07091070604153488,0.08759296833493903,0.003909255197397075,33,274,64.0015766620636,0.01870131492614746,100,False
28,0.059872723369441744,0.06911248958190774,0.08440894712585122,0.003575327913039091,32,272,67.11449646949768,0.02162790298461914,100,False
