generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,2.4129786023183115,4.3299562877691935,9.166332123761766,1.6471370207535416,18,69,24.270928382873535,0.004244565963745117,100,False
1,2.4367027601441937,3.5440409721186064,8.566885590509715,1.096221822035999,20,69,22.72926902770996,0.007113218307495117,100,False
2,2.3452134725710247,3.589687001752864,9.329748079736369,1.1150481248867925,20,66,22.73295497894287,0.007050991058349609,100,False
3,2.517876328093905,3.5964536145348096,8.671750109607453,1.0492632253574012,20,63,23.17206621170044,0.007117748260498047,100,False
4,2.518715220296454,3.5260994922466233,6.976916943988327,0.8054125720315729,20,55,23.312427282333374,0.007260560989379883,100,False
5,2.3254699412968023,3.5116895124900553,8.143856048342252,1.0384951332715187,17,76,23.657411336898804,0.007375478744506836,100,False
6,2.505597349698489,3.298681354504704,6.905467113546777,0.6660402795946054,22,58,24.13190197944641,0.007471561431884766,100,False
7,2.39828479542219,3.298844574288822,5.87597661092581,0.5945090682969729,20,57,24.425748825073242,0.006768941879272461,100,False
8,2.4104879629515636,3.4275321320245093,9.65239566176713,1.0177881474024566,24,70,26.387011528015137,0.0061037540435791016,100,False
9,2.387872437734136,3.274464811581153,7.821814726331463,0.6815628047515313,26,71,27.518386363983154,0.006961345672607422,100,False
10,2.456703833196496,3.3330707929428876,5.27435833413742,0.46915763613168976,25,69,29.28955316543579,0.008656740188598633,100,False
11,2.570645424712472,3.2890449813151656,5.097451726060145,0.4139771475466369,25,66,30.984336137771606,0.009676218032836914,100,False
12,2.5342422834226817,3.1602966360435185,5.1458142417254935,0.3744753766100151,20,73,29.530869722366333,0.008339881896972656,100,False
13,2.579297615138431,3.2738893314070547,5.62161262054127,0.43110092654635596,17,71,29.16240406036377,0.008806228637695312,100,False
14,2.47245625931529,3.3230993490990586,4.185596463111105,0.3333078431925907,32,66,29.123436212539673,0.008840799331665039,100,False
15,2.460569504517583,3.267595930543739,4.852439008633186,0.36410478889519265,27,69,28.658915758132935,0.00895833969116211,100,False
16,2.6393369478425734,3.250623613965554,4.255238787250517,0.35640847532641234,24,82,27.678181171417236,0.008008003234863281,100,False
