generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.13024230800271552,0.14440604022736067,0.16990505172307385,0.00627036067187136,29,101,14.964560270309448,0.004098653793334961,100,False
1,0.12788509294307687,0.13238133830368837,0.13899266404675986,0.0029753244852518566,29,101,13.19910979270935,0.0009021759033203125,100,False
2,0.12788509294307687,0.1319560281631538,0.1356454871758302,0.0017624790203943474,29,101,13.247321844100952,0.0008790493011474609,100,False
3,0.12788509294307687,0.1345889748926844,0.13834405536695613,0.0026049071953913763,29,101,13.194831132888794,0.0009088516235351562,100,False
4,0.12750569846955387,0.13260048516585551,0.13709589170322153,0.0024930911958330935,29,101,13.318181037902832,0.0009179115295410156,100,False
5,0.12488064599833212,0.12972182491645032,0.13363011764859478,0.002306891452579233,29,101,13.176403760910034,0.0009143352508544922,100,False
6,0.12488064599833212,0.13212632129558435,0.13549440565376356,0.002573336030087653,29,101,13.328081846237183,0.0008711814880371094,100,False
7,0.12488064599833212,0.1293100861222567,0.13227133976515673,0.0016923690415832438,29,101,13.387417793273926,0.0009002685546875,100,False
8,0.12488064599833212,0.13146857755511182,0.1341475833474415,0.002429204386489794,29,101,13.247797012329102,0.0008952617645263672,100,False
9,0.12407542181393146,0.12590774678958744,0.12816415861256264,0.0008346417260462971,29,101,13.328361988067627,0.0009059906005859375,100,False
10,0.12407542181393146,0.1284482866602989,0.13075420057466525,0.0015988866846125122,29,101,13.261054992675781,0.0009138584136962891,100,False
11,0.12407542181393146,0.12806034618603385,0.13044642828716335,0.001523420897606699,29,101,13.287545204162598,0.0009529590606689453,100,False
12,0.12407542181393146,0.12930742364785816,0.13181538242887936,0.001983943787131348,29,101,13.245430946350098,0.000881195068359375,100,False
13,0.12407542181393146,0.12877729940579047,0.13174247587645793,0.0018755808934978854,29,101,13.48481297492981,0.0009241104125976562,100,False
14,0.12407542181393146,0.14038455137287906,0.15772259757519647,0.00740577069287005,29,101,13.480174779891968,0.002868175506591797,100,True
15,0.12407542181393146,0.12917450290105154,0.13179587883142146,0.002021522360015561,29,101,13.405014991760254,0.0009350776672363281,100,False
16,0.12407542181393146,0.12830083245939372,0.1302567519968013,0.0016909187269498948,29,101,13.186084270477295,0.0008838176727294922,100,False
17,0.12407542181393146,0.1260443794400379,0.12805430609949978,0.0010577503442948451,29,101,13.176159858703613,0.0009260177612304688,100,False
18,0.12407542181393146,0.13155377740811422,0.1343281045521311,0.0028589363957575334,29,101,13.27168893814087,0.0008912086486816406,100,False
