generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.15881931198658616,0.1953199950843392,0.36630670909651697,0.038250000544056424,21,70,22.705376863479614,0.0048525333404541016,100,False
1,0.142664774122706,0.1934921462765948,0.34040149612964077,0.031705000858219964,27,71,22.01435661315918,0.017901182174682617,100,False
2,0.13255532330505407,0.19131451508264444,0.27354310124218983,0.029618335635177455,26,79,22.055286407470703,0.0061380863189697266,100,False
3,0.1306538027468487,0.18968550669962625,0.2808125207944517,0.02469718076510139,29,70,22.43523144721985,0.007197141647338867,100,False
4,0.135880268509039,0.18444038220857725,0.2616742232423602,0.02632503799371572,31,75,21.55585479736328,0.005454301834106445,100,False
5,0.1320693430020064,0.1790375048516137,0.2491951625727427,0.02277096545594966,30,79,22.136252641677856,0.006447553634643555,100,False
6,0.14019394531711174,0.17680163283539332,0.23968406767089404,0.021978399931514746,30,70,21.850481271743774,0.007257699966430664,100,False
7,0.1250192164306171,0.17210210976034152,0.2267290822480391,0.019945378718373666,29,80,22.5404052734375,0.006357669830322266,100,False
8,0.12876588684434562,0.16520802303165052,0.2644962687086664,0.018251684436658904,30,82,22.69611167907715,0.006984233856201172,100,False
9,0.1323642275513796,0.16092404488080592,0.2093149713870177,0.014881904972667752,29,71,22.3226478099823,0.00680088996887207,100,False
10,0.13517163384508318,0.15870742871190896,0.19392271531011912,0.01257818098578502,29,72,21.882811784744263,0.005542278289794922,100,False
11,0.13409419589140667,0.15626722539152532,0.2024314860421524,0.011201219474167513,28,70,22.939746618270874,0.008084774017333984,100,False
12,0.1344532854779679,0.15358035882988863,0.19068729609576393,0.010822915005680922,29,74,23.113147258758545,0.007961511611938477,100,False
13,0.13292186541722956,0.15036246346033105,0.17490096308650063,0.00962572645598683,29,76,23.145073890686035,0.007070064544677734,100,False
14,0.1280254539303893,0.1514338676290763,0.19342262044890024,0.012124732567211121,28,79,23.74991273880005,0.006743431091308594,100,False
15,0.13415669366429323,0.15131787189490875,0.19016955227470284,0.009779507805465213,31,81,22.786666870117188,0.007352590560913086,100,False
16,0.13130414222096537,0.1477388037493233,0.17137458658499832,0.008052308319147251,30,79,23.90045475959778,0.006761312484741211,100,False
17,0.13081170223853833,0.14562813965041055,0.16687533710059332,0.007174642927043863,28,73,25.135368585586548,0.008973121643066406,100,False
18,0.13023870151666053,0.1447245805414206,0.17509842293832403,0.007641260175861891,31,78,25.272010803222656,0.00675201416015625,100,False
19,0.13366576116983023,0.14502612862036435,0.16555145306915592,0.006593678020315432,28,75,26.817622423171997,0.007318019866943359,100,False
20,0.13183884468513285,0.14371920507893862,0.16032341824693616,0.00603167033179861,31,81,29.75014352798462,0.008293867111206055,100,False
21,0.13055660537468491,0.14155068079419214,0.16223152912514555,0.006585401830833334,30,77,31.388931274414062,0.008796215057373047,100,False
22,0.12641242663579474,0.14198580737344196,0.16826855923626086,0.007475116333502583,28,87,30.470454692840576,0.009391546249389648,100,False
23,0.1265706052052748,0.1398138144409284,0.161199657228134,0.004745373172076519,28,79,31.65069556236267,0.009360313415527344,100,False
24,0.1281903076721744,0.14060812365070496,0.1656888825944416,0.0062970591386767175,28,80,28.898900985717773,0.009820938110351562,100,False
25,0.12704360087740382,0.1406335062791652,0.1604632701232291,0.006663437654880582,28,84,28.301588535308838,0.009536266326904297,100,False
26,0.1261516860616353,0.13872216667186688,0.15852856923699143,0.007150683404686192,29,86,29.707683563232422,0.009198665618896484,100,False
27,0.12364224757880307,0.13712316018824733,0.1747490985709208,0.008447895534798446,29,88,27.348543882369995,0.008980512619018555,100,False
28,0.12202238236484042,0.1363763978607871,0.16768921623766625,0.008809142024949585,28,89,29.06441354751587,0.008728981018066406,100,False
29,0.1223484280583245,0.1354012692140568,0.16414710040397515,0.009342877975018201,28,87,30.58319902420044,0.009482622146606445,100,False
30,0.12466185389117349,0.13492316991049855,0.16052979061450234,0.007090461004894055,28,81,29.061979293823242,0.009194135665893555,100,False
31,0.12621001259401762,0.13479358632570554,0.1663766687715626,0.006315874421358726,28,80,30.522861003875732,0.009200334548950195,100,False
32,0.12433521977359813,0.1326030843835232,0.1430633080029421,0.004430845516331452,28,79,29.538099765777588,0.009024620056152344,100,False
33,0.12316843737996042,0.13037402263963568,0.1433018462140847,0.0038632503003120174,28,81,30.754730701446533,0.01020193099975586,100,False
34,0.12317233562592525,0.13040745711080703,0.15519482764189912,0.005166415546094493,28,85,30.012025833129883,0.008986234664916992,100,False
35,0.12165387600613387,0.13058623169201972,0.14257575363299163,0.0040252310774976,29,89,28.756219148635864,0.00917506217956543,100,False
36,0.12206478701942627,0.13093960376059713,0.15170063613506385,0.005016421383794078,28,83,29.589935302734375,0.010609626770019531,100,False
