generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.13399570962152735,0.14569610212043704,0.16382562676064638,0.005332715742674757,35,110,54.45290517807007,0.0047969818115234375,100,False
1,0.1325696302495256,0.14491921594512086,0.15874930752819982,0.005795746896709525,35,110,54.18417811393738,0.00641632080078125,100,True
2,0.13399570962152735,0.1443486533633503,0.16080338515576198,0.005222179169515146,35,110,53.902008295059204,0.00653386116027832,100,True
3,0.12936422248676938,0.14413565728833935,0.1572708949682347,0.005123744989294775,35,110,53.88473701477051,0.005757331848144531,100,True
4,0.13399570962152735,0.14427643356396083,0.15813439256963024,0.004632162795261225,35,110,53.55576777458191,0.008750438690185547,100,True
5,0.13399570962152735,0.14425798611520374,0.15933805589278768,0.004816989509327802,35,110,53.746384620666504,0.006585836410522461,100,True
