generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.38390636500421926,0.38625801567894863,0.39145602046419053,0.0013925136009248131,64,82,171.67551827430725,0.0059697628021240234,100,False
1,0.34338911332719935,0.3853750088892734,0.4277260810716769,0.0188229645964093,55,82,161.29159545898438,0.014483928680419922,100,False
2,0.3187188904163838,0.36102058614202776,0.434079156641293,0.022791866751000332,51,73,165.44767880439758,0.01387166976928711,100,False
3,0.3081583418087668,0.33373407545174144,0.3807626010454768,0.01577887536505262,48,67,154.17794561386108,0.013343095779418945,100,False
4,0.30218568142603147,0.3175166850261122,0.3517356424716564,0.007893490941771743,48,55,153.23716163635254,0.011017560958862305,100,False
5,0.2962839336935809,0.31289171858576836,0.3490638362174256,0.008872250422335092,48,54,146.2010633945465,0.01119542121887207,100,False
6,0.28945629724234895,0.3066878540113512,0.35029434379423896,0.008770137597365314,47,45,144.83349132537842,0.010212421417236328,100,False
7,0.2879017320802824,0.3020834794253402,0.32878211996568285,0.007565523765406012,47,46,145.7826111316681,0.011614799499511719,100,False
8,0.2870161763657926,0.29779093188998895,0.3200943320826868,0.006305431791141412,49,37,139.8601725101471,0.010056257247924805,100,False
9,0.2835589843655478,0.29618075520374865,0.32681907546362765,0.007306187794666978,49,32,136.33357977867126,0.009968996047973633,100,False
10,0.2802832111561194,0.29241125566661563,0.3228748801548456,0.007010273808199735,48,29,141.8764455318451,0.009246587753295898,100,False
11,0.2811610364416321,0.2895829863909062,0.30965103244826114,0.005167979719741934,48,32,132.46181106567383,0.009112358093261719,100,False
12,0.27834815161903853,0.2876553162120694,0.31255888553390904,0.005543952049257439,48,29,134.50516772270203,0.009112834930419922,100,False
13,0.2772939741526041,0.2845015842111333,0.29759546723281644,0.004260268373554024,48,29,130.3258306980133,0.008577346801757812,100,False
14,0.2754309049505493,0.28237608908542017,0.2911875363347415,0.0032914853464201016,48,24,130.78142642974854,0.0066487789154052734,100,False
15,0.27480100196153784,0.2815339504637221,0.3040425711638432,0.005103395421394236,48,26,125.41245794296265,0.008229732513427734,100,False
16,0.27473174168884174,0.28096082715507276,0.3050342077914613,0.004830787653035322,49,22,126.94751787185669,0.00892329216003418,100,False
17,0.2735718005730375,0.2799503604144242,0.29626076633895193,0.0040655709460220065,48,20,132.81310486793518,0.009295463562011719,100,False
18,0.2735718005730375,0.2780498215232516,0.28960804484424957,0.0029516307918848674,48,20,123.41582083702087,0.007831573486328125,100,False
19,0.27255182749264434,0.27764116230884817,0.2935668494516085,0.0036563646238901505,49,17,129.7851049900055,0.008997201919555664,100,False
20,0.27234929563475374,0.2766094741790032,0.2844298953960663,0.0024086294194425547,49,19,122.30544519424438,0.007587909698486328,100,False
21,0.2712824978012429,0.2762849261195366,0.2866411473034108,0.00306469294663391,48,18,124.1385715007782,0.008147478103637695,100,False
22,0.2719002198657445,0.27522239797066794,0.2813380993310261,0.0021131323917185593,49,16,117.89143109321594,0.007538318634033203,100,False
23,0.2716790963022049,0.27458365851818667,0.2810408645650964,0.0018249364768623815,49,18,122.39954924583435,0.008504629135131836,100,False
24,0.27056432525401586,0.27396993304999073,0.2792587134635408,0.0019253790462125115,48,17,119.17830228805542,0.007547855377197266,100,False
25,0.27028696004082936,0.2741941095745285,0.28084597927792254,0.002218415342287364,48,18,126.32453417778015,0.008141040802001953,100,False
26,0.27092917677974426,0.27374059195052936,0.28334444001828485,0.002091011156081934,48,17,118.76252508163452,0.007335186004638672,100,False
27,0.27095030684205196,0.2735377941645996,0.27829662161587915,0.001661945357634492,49,16,116.2240800857544,0.007273435592651367,100,False
28,0.26978758468538283,0.2738583851711807,0.27947199902855935,0.0018649592558741632,48,18,127.26284122467041,0.00802302360534668,100,False
29,0.2706205763954571,0.27365529858108706,0.2776122300883838,0.0016575593756440528,49,15,123.51960515975952,0.008712530136108398,100,False
30,0.2706205763954571,0.2732365424518639,0.2784897607083675,0.00154696674167483,49,15,117.9261040687561,0.007208347320556641,100,False
31,0.26997379897768653,0.272802013915129,0.2791411462957519,0.0016606534789894275,49,16,119.22925448417664,0.006109714508056641,100,False
32,0.270037036024242,0.27263073225473317,0.27669481222021675,0.0012753467739299435,49,16,125.34977912902832,0.006165981292724609,100,False
33,0.27043136109725857,0.2724387184120036,0.2761840573937524,0.0013460722103825833,48,17,125.81980895996094,0.007744789123535156,100,False
34,0.27031155238589755,0.2722829942324577,0.27880630204801793,0.0012823234087895386,48,17,118.7453441619873,0.0077648162841796875,100,False
35,0.27003899771183126,0.2722633258416872,0.2749591276218044,0.001029371544395876,49,15,114.31957912445068,0.006012439727783203,100,False
36,0.27003899771183126,0.27217045971581494,0.2765619634679273,0.0011537685502269058,49,15,118.75828695297241,0.005871295928955078,100,False
37,0.2699333255820534,0.2721084511348287,0.2750473858727708,0.0012322232480823031,49,16,119.6871612071991,0.007721900939941406,100,False
38,0.2699333255820534,0.2719103558525217,0.2751388439096596,0.0010166152865201921,49,16,116.98587489128113,0.006326198577880859,100,False
39,0.2699333255820534,0.3747974709846287,0.39460962026692176,0.03489090730558813,49,16,155.44010972976685,0.030802488327026367,100,True
40,0.27022139609482704,0.32895782141345775,0.43327950576564583,0.04383636320429906,49,15,144.56389236450195,0.009521245956420898,100,False
