generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.13206592703323575,0.14355926724606013,0.15850169306963793,0.0060746466179711234,30,102,15.490472316741943,0.003975868225097656,100,False
1,0.13157172964561586,0.2318376081252521,0.6688410669261733,0.1375677459460202,30,102,14.553560972213745,0.0056629180908203125,100,False
2,0.13050057931947695,0.24841460253523226,0.701863837083184,0.14803053103789796,30,102,14.663336992263794,0.0065190792083740234,100,False
3,0.13050057931947695,0.25434549075527363,0.6703762586115527,0.13890589739196077,30,102,14.81566596031189,0.006746053695678711,100,False
4,0.13050057931947695,0.2663017907292515,1.0,0.18634079521801772,30,102,14.746989965438843,0.0062198638916015625,100,False
5,0.13050057931947695,0.23310476115620496,0.5400445173272591,0.12751094684221795,30,102,14.056124925613403,0.0057561397552490234,100,False
6,0.13050057931947695,0.23552851120604137,0.630631422840357,0.12386272480669369,30,102,14.749107122421265,0.0059888362884521484,100,False
7,0.13050057931947695,0.23506029801310951,0.7009812923982917,0.13356825874252995,30,102,14.543521881103516,0.0059130191802978516,100,False
8,0.12866768446536822,0.24062501594691382,1.0,0.17486531490751983,30,102,14.429305791854858,0.00551605224609375,100,False
9,0.12866768446536822,0.225970337469453,0.6771954886021985,0.13045053630289088,30,102,14.692636728286743,0.00538325309753418,100,False
10,0.12866768446536822,0.23804836530978055,0.6478253962177474,0.13832137417663729,30,102,14.578006029129028,0.005749940872192383,100,False
11,0.12866768446536822,0.24429380934240735,1.0,0.14977742728122134,30,102,14.815732955932617,0.006319999694824219,100,False
12,0.12866768446536822,0.24535956323529493,1.0,0.15394915901552886,30,102,13.715100288391113,0.006098747253417969,100,False
13,0.12860755906627466,0.2300061323861187,0.7002005705031352,0.12760737760336605,30,102,14.391309976577759,0.005794048309326172,100,False
14,0.12860755906627466,0.25823092289717814,1.0,0.17009084049994252,30,102,14.88512921333313,0.006270885467529297,100,False
15,0.12860755906627466,0.24486445416180608,1.0,0.1471003409548842,30,102,14.111515998840332,0.0063021183013916016,100,False
16,0.12563240112267832,0.24829071077939419,0.6800095755631628,0.14340998633356414,30,102,14.808622121810913,0.00646662712097168,100,False
17,0.12563240112267832,0.25315928206352334,0.6993706711724995,0.14756426135637907,30,102,14.221145153045654,0.006418943405151367,100,False
18,0.12563240112267832,0.23336236032250254,0.6381012225424282,0.1338945365671954,30,102,15.030113935470581,0.005828380584716797,100,False
19,0.12563240112267832,0.2369131206020978,0.6416978488628304,0.12226053164561236,30,102,14.275236129760742,0.006321907043457031,100,False
20,0.12563240112267832,0.2379410692974109,0.6472911218966199,0.14765134941962688,30,102,14.336897134780884,0.005555868148803711,100,False
21,0.12563240112267832,0.24121991283243382,1.0,0.14073037674324537,30,102,14.312364101409912,0.006305694580078125,100,False
22,0.12563240112267832,0.25023410663373646,0.6429544613106256,0.13750524644438636,30,102,14.59263801574707,0.006638050079345703,100,False
23,0.12563240112267832,0.24517040746896815,0.6427061492948847,0.14135561378803835,30,102,14.772884845733643,0.0061299800872802734,100,False
24,0.12563240112267832,0.2432368865514015,0.6644551472317738,0.14548396843020173,30,102,14.84967303276062,0.0059947967529296875,100,False
