generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.045426199991216894,0.05550111984541741,0.07257915770058408,0.005141003461011253,35,110,53.39844751358032,0.005760908126831055,100,False
1,0.04276492029335558,0.05144227306661983,0.07011549778226692,0.004434225601784637,35,110,48.96632671356201,0.008266210556030273,100,False
2,0.04276492029335558,0.05056984761319222,0.06192086425716921,0.004412073586771071,35,110,48.83328986167908,0.00634765625,100,False
3,0.04234333143032805,0.049991480391726316,0.06086689209960036,0.004547975532505664,35,110,47.815242290496826,0.0054166316986083984,100,False
4,0.04146062974836415,0.049976066048921866,0.06196038821307803,0.004476836446588477,35,110,48.80185580253601,0.005747556686401367,100,False
5,0.039774274296254006,0.04878178384787669,0.06603135567168766,0.0051647967926492415,35,110,46.99356746673584,0.006889820098876953,100,False
6,0.039774274296254006,0.04743757410741733,0.059061964779763734,0.0041955667667161285,35,110,47.19280171394348,0.006068229675292969,100,False
7,0.039774274296254006,0.047596592156690515,0.06248737429186246,0.004317118003121857,35,110,48.12945032119751,0.0061872005462646484,100,False
8,0.039774274296254006,0.04816112599358833,0.06225023055640948,0.005653309046852102,35,110,46.65298795700073,0.005470991134643555,100,False
9,0.03915506565368231,0.048359931491809754,0.05981291994203153,0.005067342079518056,35,110,49.68403744697571,0.006962776184082031,100,False
10,0.03915506565368231,0.04830222651618285,0.06127530631065829,0.004581695244870085,35,110,47.4958393573761,0.006957530975341797,100,False
11,0.03915506565368231,0.04963892670501953,0.05991831715778841,0.004729005353279059,35,110,49.809319734573364,0.0065708160400390625,100,False
12,0.03915506565368231,0.049142637565324304,0.06016863554521101,0.004769569414754203,35,110,49.234787464141846,0.007665395736694336,100,False
13,0.03915506565368231,0.04873501383338457,0.06182864169338193,0.004982281800682832,35,110,49.15579581260681,0.005929470062255859,100,False
14,0.038838874006411665,0.04822765798603488,0.05861402661279698,0.004524060588435467,35,110,48.31608605384827,0.006087064743041992,100,False
15,0.038838874006411665,0.04890733828114707,0.05960212551051776,0.00507695050695485,35,110,48.85152459144592,0.005924701690673828,100,False
16,0.038838874006411665,0.04911115014711696,0.062026261472926086,0.0053431705920070445,35,110,47.9003050327301,0.006655216217041016,100,False
17,0.038680778182776335,0.04897676869702692,0.057019893724474115,0.004746006497526865,35,110,47.94511342048645,0.006418466567993164,100,False
18,0.038680778182776335,0.04986184181634535,0.06495103421017961,0.004976918606434403,35,110,49.00794172286987,0.007623434066772461,100,False
19,0.038680778182776335,0.050382899301743445,0.060550700452329714,0.004461425384118001,35,110,50.31525731086731,0.007631778717041016,100,False
20,0.038680778182776335,0.050477229809845856,0.058508629397040095,0.004312734303582194,35,110,49.046942472457886,0.007599830627441406,100,False
21,0.038680778182776335,0.05010069825655439,0.058113389837951786,0.004784754168143072,35,110,47.580748558044434,0.005925655364990234,100,False
22,0.038680778182776335,0.050253128979842784,0.05850862939704009,0.00477583361045387,35,110,48.667149782180786,0.007112979888916016,100,False
23,0.038680778182776335,0.049785428834921604,0.060656097668086606,0.004873465026608997,35,110,48.0704345703125,0.0070765018463134766,100,False
24,0.038680778182776335,0.0498090114619472,0.05862720126476659,0.005077904334616512,35,110,47.66197466850281,0.006147861480712891,100,False
25,0.038680778182776335,0.04965012515919371,0.060669272320056214,0.005005209248737663,35,110,47.03831911087036,0.007296085357666016,100,False
26,0.038680778182776335,0.05010083000307408,0.06041895393263361,0.005274529259270707,35,110,46.84854817390442,0.005473613739013672,100,False
27,0.038680778182776335,0.04957647885468358,0.06599183171577884,0.005045056431089464,35,110,47.65917682647705,0.006757259368896484,100,False
28,0.038680778182776335,0.04978266215800798,0.059944666461727636,0.004770915329316483,35,110,47.84686636924744,0.006868600845336914,100,False
29,0.03848315840323218,0.05005485046770014,0.059022440823854896,0.004822212402318656,35,110,48.896101236343384,0.005900859832763672,100,False
30,0.03848315840323218,0.05076008958763339,0.059747046682183474,0.004675256881566207,35,110,49.6930935382843,0.006951808929443359,100,False
31,0.038456809099292964,0.050202670062799166,0.06319880549822142,0.004611261204377719,35,110,49.26784944534302,0.007128715515136719,100,False
32,0.038456809099292964,0.05072214658996091,0.05769180097492424,0.004471313446153984,35,110,48.57438278198242,0.0074274539947509766,100,False
33,0.03810109349611347,0.04999174388476571,0.06094594001141804,0.005367316158986972,35,110,47.92629337310791,0.008028268814086914,100,False
34,0.03810109349611347,0.050626762109700935,0.05874577313249309,0.004506877107304959,35,110,48.978278160095215,0.005367755889892578,100,False
35,0.03810109349611347,0.0504553598875763,0.06455579465109129,0.005092998011573971,35,110,47.698410511016846,0.007361173629760742,100,False
36,0.03810109349611347,0.04982521628386983,0.07014184708620613,0.005205471716060533,35,110,48.22660207748413,0.0062808990478515625,100,False
37,0.03810109349611347,0.04937240349567431,0.05717798954810943,0.004493447340079198,35,110,48.41710901260376,0.0062367916107177734,100,False
